Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Salary
Blake Griffin,PF,32,BRK,18,17,382,37,111,.333,9,56,.161,28,55,.509,.374,17,24,.708,21,66,87,34,9,10,9,42,100,9.0,.411,.505,.216,6.1,17.5,12.1,12.2,1.1,2.3,6.9,15.0,0.0,-0.1,0.5,0.4,.053,0.0,-3.9,0.1,-3.8,-0.2,32405817.0
Quentin Grimes,SG,21,NYK,13,0,79,8,21,.381,8,19,.421,0,2,.000,.571,0,0,0.0,2,8,10,3,0,1,3,7,24,7.2,.571,.905,.000,2.7,10.9,6.8,5.4,0.0,1.2,12.5,13.3,0.0,0.0,0.0,0.1,.031,0.0,-1.4,-1.8,-3.2,0.0,2168760.0
Tyrese Haliburton,SG,21,SAC,23,23,773,107,243,.440,41,102,.402,66,141,.468,.525,22,29,.759,24,63,87,131,42,18,44,29,277,15.5,.542,.420,.119,3.3,8.5,5.9,24.1,2.6,2.0,14.7,16.5,0.0,1.0,0.6,1.5,.095,0.0,1.4,0.6,2.0,0.7,4023600.0
R.J. Hampton,SG,20,ORL,26,0,480,67,165,.406,26,65,.400,41,100,.410,.485,33,56,.589,9,70,79,59,13,4,42,37,193,10.0,.509,.394,.339,2.0,15.6,8.7,19.3,1.3,0.8,18.1,20.7,0.0,-0.3,0.2,-0.1,-0.012,0.0,-2.5,-1.5,-3.9,-0.2,2303040.0
Tim Hardaway Jr.,SG,29,DAL,24,19,758,120,312,.385,57,170,.335,63,142,.444,.476,46,63,.730,9,82,91,52,23,3,14,45,343,12.5,.505,.545,.202,1.2,12.2,6.5,10.7,1.5,0.3,4.0,20.8,0.0,0.5,0.6,1.1,.070,0.0,-0.8,-1.5,-2.2,0.0,21306816.0
James Harden,PG,32,BRK,25,25,901,146,364,.401,64,185,.346,82,179,.458,.489,166,188,.883,23,178,201,239,36,17,124,61,522,20.5,.584,.508,.516,2.8,20.0,11.8,39.8,1.9,1.7,21.7,27.9,0.0,1.5,1.4,2.9,.152,0.0,3.2,0.6,3.7,1.3,43848000.0
Maurice Harkless,SF,28,SAC,16,14,327,25,65,.385,9,40,.225,16,25,.640,.454,8,11,.727,3,42,45,9,8,8,7,25,67,6.1,.480,.615,.169,1.0,13.4,7.2,3.6,1.2,2.1,9.1,10.0,0.0,-0.1,0.2,0.1,.016,0.0,-3.8,-0.5,-4.4,-0.2,4347600.0
Montrezl Harrell,C,28,WAS,26,3,683,149,230,.648,2,8,.250,147,222,.662,.652,94,125,.752,64,144,208,56,15,18,35,52,394,25.7,.691,.035,.543,10.6,22.0,16.5,13.9,1.1,2.2,10.9,21.0,0.0,2.9,0.8,3.7,.259,0.0,4.7,0.5,5.2,1.3,9720900.0
Gary Harris,SG,27,ORL,20,10,512,64,151,.424,20,70,.286,44,81,.543,.490,11,15,.733,16,28,44,33,14,2,22,37,159,8.0,.504,.464,.099,3.3,5.8,4.5,9.9,1.3,0.4,12.2,15.0,0.0,-0.1,0.1,0.0,-0.001,0.0,-3.8,-1.6,-5.4,-0.4,20482143.0
Joe Harris,SF,30,BRK,14,14,423,56,124,.452,41,88,.466,15,36,.417,.617,5,6,.833,5,51,56,14,7,2,16,31,158,10.0,.624,.710,.048,1.3,12.2,7.0,4.8,0.8,0.4,11.2,14.8,0.0,0.3,0.4,0.7,.074,0.0,-1.2,-1.0,-2.2,0.0,17357143.0
Tobias Harris,PF,29,PHI,16,16,552,123,260,.473,21,67,.313,102,193,.528,.513,41,50,.820,18,114,132,56,7,9,27,23,308,18.4,.546,.258,.192,3.6,22.7,13.2,17.2,0.6,1.5,8.7,25.3,0.0,0.7,0.5,1.2,.103,0.0,1.9,-2.2,-0.2,0.2,36000000.0
Josh Hart,PF,26,NOP,20,19,615,83,171,.485,16,49,.327,67,122,.549,.532,40,47,.851,21,106,127,81,18,7,32,59,222,14.4,.579,.287,.275,3.6,19.4,11.2,19.9,1.4,1.1,14.3,15.5,0.0,1.0,0.3,1.3,.100,0.0,-0.4,0.1,-0.2,0.3,12000000.0
Isaiah Hartenstein,C,23,LAC,25,0,390,76,117,.650,2,3,.667,74,114,.649,.658,27,44,.614,45,71,116,39,21,31,23,62,181,24.0,.664,.026,.376,12.5,18.9,15.8,16.2,2.6,6.9,14.4,17.7,0.0,1.2,0.9,2.1,.261,0.0,0.9,3.8,4.7,0.7,3430810.0
Isaiah Hartenstein,C,23,LAC,25,0,390,76,117,.650,2,3,.667,74,114,.649,.658,27,44,.614,45,71,116,39,21,31,23,62,181,24.0,.664,.026,.376,12.5,18.9,15.8,16.2,2.6,6.9,14.4,17.7,0.0,1.2,0.9,2.1,.261,0.0,0.9,3.8,4.7,0.7,3430810.0
Udonis Haslem,C,41,MIA,5,0,23,3,6,.500,0,1,.000,3,5,.600,.500,0,0,0.0,1,5,6,1,0,1,0,5,6,9.3,.500,.167,.000,5.0,24.0,14.7,6.4,0.0,4.8,0.0,11.6,0.0,0.0,0.0,0.1,.111,0.0,-5.0,0.1,-4.9,0.0,2641691.0
Jaxson Hayes,C,21,NOP,19,0,232,40,77,.519,4,11,.364,36,66,.545,.545,28,37,.757,24,38,62,5,5,12,12,30,112,18.0,.600,.143,.481,10.9,18.4,14.5,3.4,1.1,4.9,11.4,19.4,0.0,0.5,0.2,0.6,.129,0.0,-1.2,-1.3,-2.5,0.0,5348280.0
Killian Hayes,PG,20,DET,19,19,488,41,123,.333,19,54,.352,22,69,.319,.411,18,19,.947,12,55,67,68,23,8,31,51,119,8.5,.453,.439,.154,2.5,13.3,7.5,21.2,2.3,1.5,19.1,14.3,0.0,-0.3,0.4,0.1,.014,0.0,-5.1,0.6,-4.4,-0.3,5572680.0
Gordon Hayward,SF,31,CHO,27,27,928,166,368,.451,47,124,.379,119,244,.488,.515,96,112,.857,23,109,132,102,23,17,51,51,475,16.0,.569,.337,.304,2.5,13.0,7.6,15.7,1.2,1.7,10.9,21.3,0.0,1.5,0.2,1.7,.088,0.0,0.8,-1.8,-1.0,0.2,29900000.0
Juan Hernangómez,PF,26,BOS,13,0,56,4,18,.222,2,12,.167,2,6,.333,.278,4,5,.800,6,10,16,1,4,0,5,4,14,5.2,.347,.667,.278,11.4,19.3,15.3,2.4,3.5,0.0,19.8,19.7,0.0,-0.2,0.1,-0.1,-0.073,0.0,-6.2,-2.2,-8.4,-0.1,7012440.0
