Player,Salary,salary_per_cap
P.J. Washington,4215120.0,0.03749639724589464
Willie Cauley-Stein,4200000.0,0.03736189442596118
James Bouknight,4154400.0,0.03695625100076503
Josh Okogie,4087904.0,0.03636472325511057
Grayson Allen,4054695.0,0.03606930631416016
Tyrese Haliburton,4023600.0,0.03579269486007081
Chandler Hutchison,0.0,0.0
Tyler Herro,4004280.0,0.03562083014571139
Terence Davis,4000000.0,0.0355827565961535
George Hill,4000000.0,0.0355827565961535
Dorian Finney-Smith,4000000.0,0.0355827565961535
Gorgui Dieng,4000000.0,0.0355827565961535
Aaron Holiday,3980551.0,0.03540974433789386
Joshua Primo,3946800.0,0.03510950593342466
Jake Layman,3940184.0,0.03505065205401463
Anfernee Simons,3938818.0,0.03503850054263704
Justise Winslow,3902439.0,0.03471488426708417
Danuel House,3894000.0,0.03463981354635544
Jevon Carter,3833333.0,0.03410013877275073
Kira Lewis Jr.,3822240.0,0.03400145889302044
Romeo Langford,3804360.0,0.033842403971035634
Facundo Campazzo,3804150.0,0.03384053587631434
Landry Shamet,3768342.0,0.033521999039265574
Chris Duarte,3749520.0,0.03335456437810237
Alex Len,3731707.0,0.03319610546729055
Gabriel Deck,3670000.0,0.03264717917697084
Robert Williams,3661976.0,0.032575800167238954
Aaron Nesmith,3631200.0,0.03230202643798815
Moses Moody,3562080.0,0.03168715640400662
Boban Marjanović,3500000.0,0.031134912021634317
Mike Muscala,3500000.0,0.031134912021634317
Cole Anthony,3449400.0,0.030684790150692975
Corey Kispert,3383640.0,0.03009980963225221
Trey Burke,3333333.0,0.029652294198231538
Georges Niang,3300000.0,0.029355774191826643
Chuma Okeke,3277080.0,0.02915188499653068
Isaiah Stewart,3277080.0,0.02915188499653068
Nickeil Alexander-Walker,3261480.0,0.029013112245805682
Alperen Şengün,3214680.0,0.028596793993630687
Nicolas Batum,12213507.0,0.10864756169160425
Jon Leuer,3169347.0,0.02819352571743733
Aleksej Pokusevski,3113160.0,0.027693703631220312
Goga Bitadze,3098400.0,0.027562403259380506
Trey Murphy III,3053760.0,0.02716529969576743
Sterling Brown,3000000.0,0.026687067447115128
Michael Carter-Williams,3000000.0,0.026687067447115128
Frank Jackson,3000000.0,0.026687067447115128
Luka Šamanić,0.0,0.0
Josh Green,2957520.0,0.02630917857206398
Tre Mann,2901240.0,0.025808529186756097
Dewayne Dedmon,5256308.0,0.04675848203960361
Andrew Nicholson,2844429.0,0.02530315619051008
Matisse Thybulle,2840160.0,0.025265180493532834
Saddiq Bey,2824320.0,0.025124272777412065
Kai Jones,2770560.0,0.024646040528759763
Brandon Clarke,2726880.0,0.024257476826729768
Precious Achiuwa,2711280.0,0.02411870407600477
Jalen Johnson,2659560.0,0.023658619033216505
E'Twaun Moore,2641691.0,0.023499661963812337
Udonis Haslem,2641691.0,0.023499661963812337
Markieff Morris,2641691.0,0.023499661963812337
DeAndre Jordan,10517224.0,0.09355795541480598
Rajon Rondo,2641691.0,0.023499661963812337
Dwight Howard,2641691.0,0.023499661963812337
Wayne Ellington,2641691.0,0.023499661963812337
Trevor Ariza,2641691.0,0.023499661963812337
Carmelo Anthony,2641691.0,0.023499661963812337
Andre Iguodala,2641691.0,0.023499661963812337
Paul Millsap,2641691.0,0.023499661963812337
LaMarcus Aldridge,2641691.0,0.023499661963812337
Blake Griffin,32405817.0,0.28827207465262333
James Johnson,2641691.0,0.023499661963812337
Enes Freedom,2641691.0,0.023499661963812337
Avery Bradley,2641691.0,0.023499661963812337
Ed Davis,2641691.0,0.023499661963812337
Grant Williams,2617800.0,0.02328713505435266
Tyrese Maxey,2602920.0,0.02315476719981497
Keon Johnson,2553120.0,0.02271176188019286
Darius Bazley,2513040.0,0.0223552226590994
Trey Lyles,2500000.0,0.02223922287259594
Zeke Nnaji,2498760.0,0.022228192218051133
Isaiah Jackson,2451120.0,0.021804401586990943
Ty Jerome,2412840.0,0.021463874606365754
Hassan Whiteside,2401537.0,0.021363326631914176
Andre Drummond,2401537.0,0.021363326631914176
Kent Bazemore,2401537.0,0.021363326631914176
Austin Rivers,2401537.0,0.021363326631914176
Cory Joseph,7310000.0,0.06502748767947053
Tony Snell,2389641.0,0.021257503513797214
Cody Zeller,2389641.0,0.021257503513797214
Ben McLemore,2389641.0,0.021257503513797214
Victor Oladipo,2389641.0,0.021257503513797214
Dewayne Dedmon,5256308.0,0.04675848203960361
Otto Porter,2389641.0,0.021257503513797214
Solomon Hill,2389641.0,0.021257503513797214
Leandro Bolmaro,2353320.0,0.02093440318821499
Usman Garuba,2353320.0,0.02093440318821499
Willy Hernangómez,2327220.0,0.02070222570142509
Nassir Little,2316240.0,0.02060455103456865
R.J. Hampton,2303040.0,0.02048712793780134
Josh Christopher,2259240.0,0.02009749675307346
Monta Ellis,2245400.0,0.01997438041525077
Elfrid Payton,2239544.0,0.019922287259594
Rodney Hood,2239544.0,0.019922287259594
Jabari Parker,2239544.0,0.019922287259594
Dylan Windler,2239200.0,0.01991922714252673
Immanuel Quickley,2210640.0,0.019665166260430196
John Konchar,2197674.0,0.019549824754923763
Quentin Grimes,2168760.0,0.019292614798868468
Jordan Poole,2161440.0,0.019227498354297507
Bol Bol,2161152.0,0.019224936395822585
Keldon Johnson,2145720.0,0.019087658120874623
Payton Pritchard,2137440.0,0.019014001814720585
Kevin Porter Jr.,2130240.0,0.01894995285284751
Gary Clark,3382007.0,0.03008528297187183
Bones Hyland,2096880.0,0.01865319266283559
Raul Neto,2089448.0,0.018587079901079936
Frank Kaminsky,2089448.0,0.018587079901079936
Nemanja Bjelica,2089448.0,0.018587079901079936
Udoka Azubuike,2075880.0,0.018466383190705784
Jaden McDaniels,2063280.0,0.0183542975074279
Malachi Flynn,2048040.0,0.018218727204796555
Cameron Thomas,2036280.0,0.018114113900403864
Desmond Bane,2033160.0,0.018086359350258863
Jaden Springer,2023800.0,0.018003095699823866
Day'Ron Sharpe,2009040.0,0.01787179532798406
DeMarcus Cousins,2004047.0,0.01782737915206291
Jeremiah Robinson-Earl,2000000.0,0.01779137829807675
Abdel Nader,2000000.0,0.01779137829807675
Théo Maledon,2000000.0,0.01779137829807675
Kenrich Williams,2000000.0,0.01779137829807675
Santi Aldama,1994520.0,0.01774262992154002
Damian Jones,1977011.0,0.01758687530022951
Wesley Matthews,1958501.0,0.01742221609408081
Rodney McGruder,1939350.0,0.017251854751187574
DeAndre' Bembry,1939350.0,0.017251854751187574
Gary Payton II,1939350.0,0.017251854751187574
Timothé Luwawu-Cabarrot,1939350.0,0.017251854751187574
Damion Lee,1910860.0,0.016998416567331472
Larry Sanders,1865547.0,0.016595326204921095
Shake Milton,1846738.0,0.016428007187716833
Mitchell Robinson,1802057.0,0.01603053890084865
Jalen Brunson,1802057.0,0.01603053890084865
Semi Ojeleye,1789256.0,0.01591666518405181
Malik Monk,1789256.0,0.01591666518405181
Frank Ntilikina,1789256.0,0.01591666518405181
Tony Bradley,1789256.0,0.01591666518405181
Dennis Smith Jr.,1789256.0,0.01591666518405181
Denzel Valentine,1789256.0,0.01591666518405181
Didi Louzada,1786878.0,0.015895511235255396
Daniel Gafford,1782621.0,0.01585764228654794
Terance Mann,1782621.0,0.01585764228654794
Eric Paschall,1782621.0,0.01585764228654794
KZ Okpala,1782621.0,0.01585764228654794
Cody Martin,1782621.0,0.01585764228654794
Nicolas Claxton,1782621.0,0.01585764228654794
Bruno Fernando,1782621.0,0.01585764228654794
