Player,G,WS,BPM,VORP
Mychal Mulder,12.0,-0.3,-9.0,-0.2
Trey Murphy III,25.0,0.4,-4.0,-0.2
Dejounte Murray,24.0,2.2,3.2,1.1
Mike Muscala,18.0,1.0,3.7,0.4
Svi Mykhailiuk,25.0,0.8,-1.4,0.1
Abdel Nader,14.0,0.0,-6.9,-0.2
Larry Nance Jr.,26.0,1.2,0.1,0.3
RJ Nembhard,2.0,0.0,15.0,0.0
Aaron Nesmith,21.0,0.0,-5.8,-0.2
Raul Neto,25.0,0.5,-3.6,-0.2
Georges Niang,26.0,1.2,-0.9,0.2
Daishen Nix,1.0,0.0,1.5,0.0
Zeke Nnaji,13.0,0.6,-0.6,0.1
Nerlens Noel,11.0,0.6,-1.9,0.0
Jaylen Nowell,11.0,0.1,-1.7,0.0
Frank Ntilikina,17.0,0.2,-2.3,0.0
Jusuf Nurkić,26.0,2.5,2.6,0.8
David Nwaba,16.0,0.3,-3.1,0.0
Jordan Nwora,21.0,0.2,-4.1,-0.2
Royce O'Neale,23.0,2.2,2.8,0.9
Semi Ojeleye,11.0,0.0,-7.2,-0.3
Chuma Okeke,20.0,0.1,-3.8,-0.2
Josh Okogie,17.0,0.2,-4.5,-0.2
Isaac Okoro,19.0,0.6,-3.7,-0.2
KZ Okpala,13.0,0.2,-1.9,0.0
Kelly Olynyk,10.0,0.5,2.5,0.3
Eugene Omoruyi,4.0,0.1,2.1,0.0
Miye Oni,12.0,0.0,-9.6,-0.1
Cedi Osman,20.0,1.5,3.9,0.7
Kelly Oubre Jr.,27.0,1.4,-0.8,0.2
Kevin Pangos,9.0,0.0,-6.3,0.0
Jabari Parker,8.0,0.3,0.6,0.1
Eric Paschall,21.0,0.4,-2.6,0.0
Chris Paul,24.0,3.5,4.1,1.2
Cameron Payne,19.0,0.3,-2.6,-0.1
Elfrid Payton,10.0,0.2,-3.0,0.0
Gary Payton II,24.0,2.0,5.4,0.7
Jamorko Pickett,3.0,0.0,-3.8,0.0
Mason Plumlee,20.0,1.1,-0.6,0.2
Jakob Poeltl,17.0,1.7,-0.1,0.2
Aleksej Pokusevski,24.0,-0.5,-6.5,-0.4
Yves Pons,2.0,0.0,-9.1,0.0
Jordan Poole,25.0,2.2,-0.7,0.3
Kevin Porter Jr.,19.0,-0.5,-5.4,-0.5
Michael Porter Jr.,9.0,-0.2,-5.3,-0.2
Otto Porter,22.0,1.7,2.5,0.5
Bobby Portis,21.0,2.0,0.7,0.4
Kristaps Porziņģis,17.0,1.8,2.5,0.6
Dwight Powell,24.0,1.6,-1.2,0.1
Norman Powell,22.0,1.4,-0.6,0.2
Joshua Primo,8.0,0.2,4.1,0.1
Taurean Prince,23.0,0.3,-4.0,-0.2
Payton Pritchard,20.0,-0.1,-6.8,-0.2
Immanuel Quickley,25.0,0.9,-2.1,0.0
Jahmi'us Ramsey,7.0,0.0,-8.6,-0.1
Julius Randle,25.0,1.5,1.0,0.7
Austin Reaves,14.0,0.3,-5.8,-0.2
Cam Reddish,21.0,0.6,-1.9,0.0
Davon Reed,4.0,0.2,0.8,0.0
Paul Reed,14.0,0.4,-1.7,0.0
Naz Reid,23.0,1.2,1.0,0.3
Nick Richards,22.0,0.6,-2.2,0.0
Josh Richardson,20.0,1.1,-1.2,0.1
Austin Rivers,18.0,-0.1,-6.3,-0.3
Duncan Robinson,26.0,0.8,-1.8,0.0
Justin Robinson,17.0,-0.1,-7.5,-0.3
Mitchell Robinson,22.0,2.3,0.2,0.3
