Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Chuck Hayes,5958750.0,0.09448584793467057,29.0,0.5,-1.0,0.1,0.492,10.4,2015
Patrick Patterson,5831326.0,0.0924653294220249,81.0,6.1,2.5,2.4,0.568,14.6,2015
Anthony Davis,5607240.0,0.08891207484341553,68.0,14.0,8.9,6.7,0.591,30.8,2015
Anthony Bennett,5563920.0,0.08822516451280425,57.0,0.3,-3.9,-0.4,0.458,11.4,2015
Andrew Wiggins,5510640.0,0.08738032189011337,82.0,2.1,-2.4,-0.3,0.517,13.9,2015
Greg Monroe,5479933.0,0.0868934115595021,69.0,6.8,2.0,2.1,0.549,21.2,2015
Jason Terry,5450000.0,0.08641877428050425,77.0,3.6,0.5,1.0,0.579,11.4,2015
Jamal Crawford,5450000.0,0.08641877428050425,64.0,3.6,0.7,1.2,0.532,16.6,2015
Courtney Lee,5450000.0,0.08641877428050425,77.0,4.8,-0.5,0.9,0.555,11.5,2015
Tristan Thompson,5421233.0,0.08596262586220565,82.0,6.8,-1.2,0.4,0.58,15.6,2015
Martell Webster,5381750.0,0.08533655752001902,32.0,0.0,-5.6,-0.3,0.445,5.9,2015
Robin Lopez,5340229.0,0.08467817331324824,59.0,5.1,0.1,0.9,0.574,16.2,2015
Nikola Mirotic,5305000.0,0.08411955918496788,82.0,5.7,2.3,1.8,0.556,17.9,2015
Shaun Livingston,5305000.0,0.08411955918496788,78.0,3.3,-0.8,0.4,0.529,12.9,2015
Spencer Hawes,5305000.0,0.08411955918496788,73.0,1.2,-2.3,-0.1,0.478,9.8,2015
Chris Andersen,5300000.0,0.08404027590581147,60.0,3.6,1.1,0.9,0.622,16.1,2015
Zaza Pachulia,5200000.0,0.08245461032268295,73.0,4.2,0.4,1.0,0.506,15.6,2015
Michael Kidd-Gilchrist,5016960.0,0.0795522080393245,55.0,3.8,-0.5,0.6,0.519,15.1,2015
Tony Allen,5000000.0,0.07928327915642591,63.0,4.1,1.6,1.5,0.528,14.6,2015
Chase Budinger,5000000.0,0.07928327915642591,67.0,1.3,-1.8,0.0,0.537,12.2,2015
Brandan Wright,5000000.0,0.07928327915642591,75.0,6.1,3.7,2.1,0.66,20.4,2015
Brandan Wright,5000000.0,0.07928327915642591,27.0,2.9,5.6,1.0,0.762,25.7,2015
Brandan Wright,5000000.0,0.07928327915642591,40.0,3.0,2.9,1.0,0.6,17.8,2015
Trevor Booker,5000000.0,0.07928327915642591,79.0,3.6,-0.2,0.7,0.536,15.3,2015
Nick Young,4994420.0,0.07919479901688734,42.0,1.2,-1.3,0.2,0.52,14.2,2015
Victor Oladipo,4978200.0,0.07893760405930389,72.0,3.5,-0.4,1.1,0.527,15.9,2015
Jabari Parker,4930560.0,0.07818219297550147,25.0,1.3,-0.5,0.3,0.527,14.5,2015
Chris Kaman,4800000.0,0.07611194799016888,74.0,3.3,-0.8,0.4,0.537,17.3,2015
Kostas Papanikolaou,4797664.0,0.07607490684214699,43.0,0.5,-2.0,0.0,0.444,7.8,2015
Darren Collison,4797664.0,0.07607490684214699,45.0,3.8,2.1,1.6,0.575,17.5,2015
Jameer Nelson,4750000.0,0.07531911519860461,63.0,1.4,-1.0,0.4,0.503,12.1,2015
Jameer Nelson,4750000.0,0.07531911519860461,34.0,0.8,0.0,0.3,0.53,14.5,2015
Corey Brewer,4702500.0,0.07456592404661856,80.0,3.1,-1.0,0.5,0.507,13.9,2015
Corey Brewer,4702500.0,0.07456592404661856,56.0,2.7,-1.1,0.3,0.516,14.0,2015
Timofey Mozgov,4650000.0,0.0737334496154761,81.0,5.7,-0.7,0.7,0.594,16.6,2015
Timofey Mozgov,4650000.0,0.0737334496154761,35.0,1.8,-1.9,0.0,0.554,13.8,2015
Timofey Mozgov,4650000.0,0.0737334496154761,46.0,3.9,0.3,0.7,0.621,18.7,2015
Andre Miller,4625000.0,0.07333703321969397,81.0,2.2,-2.1,0.0,0.548,13.3,2015
Andre Miller,4625000.0,0.07333703321969397,51.0,1.6,-0.5,0.2,0.575,14.3,2015
Andre Miller,4625000.0,0.07333703321969397,30.0,0.6,-3.6,-0.3,0.522,12.3,2015
Bradley Beal,4505280.0,0.0714386743835725,63.0,3.7,0.1,1.1,0.521,14.0,2015
Jonas Jerebko,4500000.0,0.07135495124078332,75.0,3.5,0.9,0.9,0.549,15.0,2015
Jonas Jerebko,4500000.0,0.07135495124078332,46.0,1.9,1.0,0.5,0.564,14.5,2015
Jonas Jerebko,4500000.0,0.07135495124078332,29.0,1.5,0.6,0.4,0.533,15.5,2015
Luis Scola,4500000.0,0.07135495124078332,81.0,4.4,-0.3,0.7,0.515,16.8,2015
Caron Butler,4500000.0,0.07135495124078332,78.0,2.4,-1.7,0.1,0.544,9.3,2015
Ben Gordon,4500000.0,0.07135495124078332,56.0,0.3,-4.2,-0.4,0.538,10.6,2015
Otto Porter,4470480.0,0.07088686276064378,74.0,2.7,-0.5,0.6,0.523,11.6,2015
Luc Mbah a Moute,4382576.0,0.06949299928645049,67.0,1.1,-2.8,-0.4,0.466,10.6,2015
Raymond Felton,4360000.0,0.0691350194244034,29.0,0.2,-1.4,0.0,0.48,12.4,2015
Jared Dudley,4250000.0,0.06739078728296202,72.0,4.1,0.6,1.1,0.572,12.3,2015
Kris Humphries,4250000.0,0.06739078728296202,64.0,3.8,-1.0,0.3,0.512,15.4,2015
Bismack Biyombo,4086453.0,0.06479747879172283,64.0,4.0,-1.1,0.3,0.578,15.2,2015
Dion Waiters,4062000.0,0.06440973598668041,80.0,1.1,-3.3,-0.7,0.46,10.9,2015
Dion Waiters,4062000.0,0.06440973598668041,33.0,0.5,-2.6,-0.1,0.468,12.2,2015
Dion Waiters,4062000.0,0.06440973598668041,47.0,0.7,-3.7,-0.6,0.455,10.1,2015
Cody Zeller,4030560.0,0.06391120272734481,62.0,3.8,-0.6,0.5,0.53,14.1,2015
Danny Green,4025000.0,0.06382303972092286,81.0,7.8,4.6,3.8,0.596,16.5,2015
Thabo Sefolosha,4000000.0,0.06342662332514072,52.0,2.5,1.0,0.8,0.506,13.8,2015
Ian Mahinmi,4000000.0,0.06342662332514072,61.0,2.1,-2.5,-0.1,0.516,10.8,2015
Mario Chalmers,4000000.0,0.06342662332514072,80.0,2.8,-2.5,-0.3,0.521,11.7,2015
Aaron Gordon,3992040.0,0.0633004043447237,47.0,1.0,-2.7,-0.2,0.517,11.4,2015
Vince Carter,3911981.0,0.06203093633552684,66.0,1.0,-1.7,0.1,0.445,9.6,2015
Kevin Seraphin,3898691.0,0.06182020137952906,79.0,1.7,-3.8,-0.6,0.535,12.5,2015
Devin Harris,3878896.0,0.06150631887734877,76.0,4.2,1.4,1.4,0.559,14.8,2015
Joel Anthony,3800000.0,0.06025529215888369,49.0,1.2,0.2,0.2,0.607,14.7,2015
Thomas Robinson,3678360.0,0.05832648854356616,54.0,1.5,-2.0,0.0,0.502,15.3,2015
Thomas Robinson,3678360.0,0.05832648854356616,32.0,0.5,-3.3,-0.1,0.513,11.0,2015
Jonas Valanciunas,3678360.0,0.05832648854356616,80.0,8.2,0.5,1.3,0.623,20.6,2015
Marreese Speights,3657500.0,0.05799571870292555,76.0,4.0,-1.9,0.0,0.546,19.5,2015
Alex Len,3649920.0,0.05787552525172441,69.0,3.4,-1.8,0.1,0.542,13.5,2015
Dante Exum,3615000.0,0.05732181083009593,82.0,-0.1,-4.3,-1.1,0.457,5.7,2015
Brandon Knight,3553917.0,0.05635323872195354,63.0,4.5,1.6,1.9,0.543,17.1,2015
Brandon Knight,3553917.0,0.05635323872195354,52.0,4.4,2.5,1.9,0.556,18.5,2015
Gerald Green,3500000.0,0.05549829540949814,74.0,1.9,-0.3,0.6,0.532,15.4,2015
Darrell Arthur,3457149.0,0.05481882185047174,58.0,0.9,-1.7,0.1,0.466,11.5,2015
Kemba Walker,3452183.0,0.054740077697613576,62.0,4.5,2.3,2.3,0.486,17.6,2015
Steve Novak,3445947.0,0.05464119559184968,35.0,0.3,-1.9,0.0,0.554,8.6,2015
Matt Barnes,3396250.0,0.0538531673670023,76.0,4.3,-0.3,1.0,0.574,11.3,2015
Mirza Teletovic,3368100.0,0.05340680250535162,40.0,0.5,-1.7,0.1,0.5,10.7,2015
Damian Lillard,3340920.0,0.05297581859985729,82.0,10.6,4.7,4.9,0.56,20.7,2015
Mike Scott,3333333.0,0.05285551415206533,68.0,2.7,-0.5,0.4,0.543,15.1,2015
Tyler Hansbrough,3326235.0,0.05274296360897487,74.0,3.4,-1.3,0.2,0.597,13.3,2015
Nerlens Noel,3315120.0,0.052566716879410134,75.0,4.0,-0.3,1.0,0.493,15.0,2015
Marcus Smart,3283320.0,0.052062475223975266,67.0,2.9,-0.5,0.7,0.491,11.0,2015
Evan Turner,3278000.0,0.051978117814952825,82.0,2.5,-1.0,0.6,0.482,12.8,2015
Bojan Bogdanovic,3278000.0,0.051978117814952825,78.0,2.4,-1.7,0.1,0.562,11.6,2015
Jason Smith,3278000.0,0.051978117814952825,82.0,1.2,-3.8,-0.8,0.497,12.0,2015
Gary Neal,3250000.0,0.05153413145167684,54.0,0.6,-3.4,-0.5,0.483,11.1,2015
Gary Neal,3250000.0,0.05153413145167684,43.0,0.1,-4.3,-0.6,0.466,9.9,2015
Alec Burks,3201369.0,0.05076300642194561,27.0,1.7,-1.7,0.1,0.524,13.0,2015
Anthony Morrow,3200000.0,0.05074129866011258,74.0,5.7,1.8,1.7,0.604,14.8,2015
