Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Devin Booker,SG,25,PHO,21,21,676,180,393,.458,50,124,.403,130,269,.483,.522,78,91,.857,18,85,103,94,19,5,57,49,488,19.7,.563,.316,.232,2.9,12.8,8.0,22.7,1.3,0.6,11.6,31.4,0.0,0.9,0.8,1.8,.127,0.0,2.2,-1.1,1.1,0.5
Brandon Boston Jr.,SG,20,LAC,12,0,121,18,46,.391,6,16,.375,12,30,.400,.457,12,13,.923,1,11,12,4,5,3,9,8,54,9.9,.522,.348,.283,0.9,9.4,5.3,5.0,2.0,2.1,14.8,21.8,0.0,-0.1,0.2,0.1,.025,0.0,-4.6,-0.1,-4.7,-0.1
Chris Boucher,PF,29,TOR,22,0,301,52,131,.397,10,54,.185,42,77,.545,.435,24,35,.686,30,57,87,7,11,17,12,31,138,15.9,.471,.412,.267,10.3,21.9,15.7,3.6,1.8,5.6,7.6,22.6,0.0,0.1,0.4,0.5,.083,0.0,-1.8,-0.5,-2.3,0.0
James Bouknight,SG,21,CHO,9,0,40,4,15,.267,1,3,.333,3,12,.250,.300,4,4,1.000,5,2,7,3,0,0,1,4,13,7.5,.388,.200,.267,12.7,5.5,9.2,9.6,0.0,0.0,5.6,18.7,0.0,0.0,0.0,0.0,-0.017,0.0,-4.4,-5.4,-9.8,-0.1
Avery Bradley,SG,31,LAL,22,17,492,42,111,.378,23,65,.354,19,46,.413,.482,2,2,1.000,11,45,56,18,13,4,13,31,109,6.0,.487,.586,.018,2.4,9.5,6.0,4.8,1.3,0.7,10.4,10.8,0.0,-0.1,0.3,0.2,.023,0.0,-3.8,-1.2,-5.0,-0.4
Tony Bradley,C,24,CHI,19,7,241,31,55,.564,0,0,0.0,31,55,.564,.564,5,7,.714,26,54,80,8,1,11,12,25,67,13.0,.577,.000,.127,11.9,24.2,18.1,4.6,0.2,4.0,17.1,12.8,0.0,0.3,0.3,0.6,.118,0.0,-2.1,-0.2,-2.3,0.0
Ignas Brazdeikis,SF,23,ORL,12,0,98,7,28,.250,3,17,.176,4,11,.364,.304,1,2,.500,5,12,17,6,3,0,3,12,18,2.4,.312,.607,.071,5.4,13.0,9.2,8.8,1.5,0.0,9.4,14.0,0.0,-0.2,0.0,-0.2,-0.076,0.0,-6.7,-2.7,-9.4,-0.2
Mikal Bridges,SF,25,PHO,24,24,833,119,221,.538,30,74,.405,89,147,.605,.606,23,27,.852,20,77,97,45,36,13,19,52,291,13.5,.625,.335,.122,2.6,9.4,6.1,7.3,2.1,1.4,7.5,13.1,0.0,1.3,1.1,2.5,.143,0.0,-0.2,0.7,0.5,0.5
Miles Bridges,PF,23,CHO,26,26,952,194,419,.463,57,173,.329,137,246,.557,.531,80,104,.769,33,156,189,85,32,24,46,71,525,17.6,.565,.413,.248,3.5,18.0,10.5,13.2,1.6,2.4,9.0,22.7,0.0,1.6,0.5,2.0,.103,0.0,1.7,-1.1,0.6,0.6
Oshae Brissett,SF,23,IND,15,0,201,26,57,.456,12,28,.429,14,29,.483,.561,3,11,.273,9,31,40,7,4,4,11,15,67,9.6,.542,.491,.193,5.0,16.6,10.9,4.9,1.0,1.7,15.1,15.8,0.0,0.0,0.2,0.2,.037,0.0,-1.2,-1.3,-2.6,0.0
